Subject	Start date	Start time
創世記1-3 マタイ1:1-25	1/1/2017	6:00 AM
創世記4-5 マタイ2:1-23	1/2/2017	6:00 AM
創世記6-9 マタイ3:1-17	1/3/2017	6:00 AM
創世記10-12 マタイ4:1-25	1/4/2017	6:00 AM
創世記13-15 マタイ5:1-20	1/5/2017	6:00 AM
創世記16-18 マタイ5:21-48	1/6/2017	6:00 AM
創世記19-20 マタイ6:1-18	1/7/2017	6:00 AM
創世記21-23 マタイ6:19-7:12	1/8/2017	6:00 AM
創世記24 マタイ7:13-29	1/9/2017	6:00 AM
創世記25-26 マタイ8:1-22	1/10/2017	6:00 AM
創世記27 マタイ8:23-9:17	1/11/2017	6:00 AM
創世記28-29 マタイ9:18-38	1/12/2017	6:00 AM
創世記30 マタイ10:1-23	1/13/2017	6:00 AM
創世記31-33 マタイ10:24-11:1	1/14/2017	6:00 AM
創世記34-35 マタイ11:2-30	1/15/2017	6:00 AM
創世記36-37 マタイ12:1-21	1/16/2017	6:00 AM
創世記38-40 マタイ12:22-50	1/17/2017	6:00 AM
創世記41 マタイ13:1-23	1/18/2017	6:00 AM
創世記42-43 マタイ13:24-43	1/19/2017	6:00 AM
創世記44-45 マタイ13:44-14:12	1/20/2017	6:00 AM
創世記46-47 マタイ14:13-36	1/21/2017	6:00 AM
創世記48-50 マタイ15:1-28	1/22/2017	6:00 AM
出エジプト1-2 マタイ15:29-16:12	1/23/2017	6:00 AM
出エジプト3-4 マタイ16:13-28	1/24/2017	6:00 AM
出エジプト5-7 マタイ17:1-23	1/25/2017	6:00 AM
出エジプト8-9 マタイ17:24-18:14	1/26/2017	6:00 AM
出エジプト10-11 マタイ18:15-35	1/27/2017	6:00 AM
出エジプト12-13 マタイ19:1-30	1/28/2017	6:00 AM
出エジプト14-15 マタイ20:1-19	1/29/2017	6:00 AM
出エジプト16-18 マタイ20:20-21:11	1/30/2017	6:00 AM
出エジプト19-20 マタイ21:12-27	1/31/2017	6:00 AM
出エジプト21-23 マタイ21:28-46	2/1/2017	6:00 AM
出エジプト24-25 マタイ22:1-22	2/2/2017	6:00 AM
出エジプト26-27 マタイ22:23-23:12	2/3/2017	6:00 AM
出エジプト28-29 マタイ23:13-39	2/4/2017	6:00 AM
出エジプト30-32 マタイ24:1-28	2/5/2017	6:00 AM
出エジプト33-34 マタイ24:29-51	2/6/2017	6:00 AM
出エジプト35-36 マタイ25:1-30	2/7/2017	6:00 AM
出エジプト37-38 マタイ25:31-46	2/8/2017	6:00 AM
出エジプト39-40 マタイ26:1-25	2/9/2017	6:00 AM
レビ1-3 マタイ26:26-46	2/10/2017	6:00 AM
レビ4-5 マタイ26:47-68	2/11/2017	6:00 AM
レビ6-7 マタイ26:69-27:14	2/12/2017	6:00 AM
レビ8-10 マタイ27:15-44	2/13/2017	6:00 AM
レビ11-12 マタイ27:45-66	2/14/2017	6:00 AM
レビ13 マタイ28:1-20	2/15/2017	6:00 AM
レビ14-15 マルコ1:1-20	2/16/2017	6:00 AM
レビ16-18 マルコ1:21-45	2/17/2017	6:00 AM
レビ19-20 マルコ2:1-22	2/18/2017	6:00 AM
レビ21-22 マルコ2:23-3:19	2/19/2017	6:00 AM
レビ23-24 マルコ3:20-4:9	2/20/2017	6:00 AM
レビ25 マルコ4:10-34	2/21/2017	6:00 AM
レビ26-27 マルコ4:35-5:20	2/22/2017	6:00 AM
民数1-2 マルコ5:21-43	2/23/2017	6:00 AM
民数3-4 マルコ6:1-29	2/24/2017	6:00 AM
民数5-6 マルコ6:30-56	2/25/2017	6:00 AM
民数7 マルコ7:1-23	2/26/2017	6:00 AM
民数8-10 マルコ7:24-8:10	2/27/2017	6:00 AM
民数11-13 マルコ8:11-38	2/28/2017	6:00 AM
民数14-15 マルコ9:1-13	3/1/2017	6:00 AM
民数16-17 マルコ9:14-32	3/2/2017	6:00 AM
民数18-19 マルコ9:33-10:12	3/3/2017	6:00 AM
民数20-21 マルコ10:13-34	3/4/2017	6:00 AM
民数22-23 マルコ10:35-52	3/5/2017	6:00 AM
民数24-25 マルコ11:1-25	3/6/2017	6:00 AM
民数26-27 マルコ11:27-12:12	3/7/2017	6:00 AM
民数28-29 マルコ12:13-34	3/8/2017	6:00 AM
民数30-31 マルコ12:35-13:13	3/9/2017	6:00 AM
民数32-33 マルコ13:14-37	3/10/2017	6:00 AM
民数34-36 マルコ14:1-16	3/11/2017	6:00 AM
申命1 マルコ14:17-42	3/12/2017	6:00 AM
申命2-3 マルコ14:43-72	3/13/2017	6:00 AM
申命4 マルコ15:1-21	3/14/2017	6:00 AM
申命5-6 マルコ15:22-47	3/15/2017	6:00 AM
申命7-8 マルコ16:1-20	3/16/2017	6:00 AM
申命9-10 ルカ1:1-23	3/17/2017	6:00 AM
