bangou,setsu,kashi
4,1,"よろずのくにびと
わが主にむかいて
こころのかぎりに
よろこびたたえよ"
4,2,"主こそはかみなれ
主はわがかいぬし
われらはその民
みまきのひつじぞ"
4,3,"もろごえあわせて
大御名ほめつつ
みかどに入りゆき
みまえに近づかん"
4,4,"めぐみはゆたかに
あわれみつきせず
こよなきまことは
ときわにかわらじ
　　　　
　　　　アーメン"
6,1,"われら主をたたえまし
きよき御名あがめばや
くる日ごとほめうたわん
神にまし王にます
主のみいつたぐいなし"
6,2,"世は世へとうたいつぎ
よろこびとおそれもて
主のくしきわざをつげ
いつくしみ知れるもの
みさかえをほめたたう"
6,3,"みめぐみはかぎりなく
主にたよる子らにあり
みいかりをしのびつつ
あわれみをたれたもう
主を愛し、主につかえん

　　　　　　　アーメン"
7,1,"主のみいつとみさかえとを
こえのかぎりたたえて
またき愛とひくきこころ
御座（みざ）にそなえひれふす"
7,2,"ゆだねまつるわが重荷を
主はかわりて負いたもう
なやみおおき世の旅路も
主のいませばやすけし"
7,3,"よろこびもて御前(みまえ)にいでん
まずしき身のささぐる
愛とまこと主は嘉(よ)みして
みくらちかく召(め)したもう"
7,4,"闇(やみ)をかえてひかりとなす
なぐさめぬしとうとし
のぞみは湧(わ)き、おそれは消え
み民(たみ)のさちつきせじ

　　　　　　　　　　アーメン"
9,1,"ちからの主を　ほめたたえまつれ
わがこころよ　今しも目さめて
たてごと　　　かきならしつつ
御名をほめまつれ"
9,2,"すくいの主を　ほめたたえまつれ
みことばもて　わが身をはげまし
なやみに　　　かたしめたもう
みいつたぐいなし"
9,3,"いのちの主を　ほめたたえまつれ
しげきめぐみ　あめとふりそそぐ
つきせぬ　　　みいつくしみを
いかでわするべき"
9,4,"さかえの主を　ほめたたえまつれ
世をこぞりて　かしこみあがめよ
ひかりに　　　いますわが主を
とわにほめまつれ

　　　　　　　　　　　アーメン"
62,1,"主イエスのみいつと　みめぐみとを
ことばのかぎりに　　たたえまほし"
62,2,"とうときわが主よ　たかき御名(みな)を
ひろむるこの身を　たすけたまえ"
62,3,"うれいをなぐさめ　おそれを去る
み名をばつみびと　聞くうれしさ"
62,4,"くらきのちからを　イェスはくだき
血をもてあがない　すくいたもう"
62,5,"死にたるこころも　活きかえらせ
のぞみをあたうる　み名をたたえん

　　　　　　　　　　アーメン"
66,1,"聖なる　聖なる　聖なるかな
三つにいまして　一つなる
神の御名をば　　あさまだき
おきいでてこそ　ほめまつれ"
66,2,"聖なる　聖なる　聖なるかな
神のみまえに　　聖徒らも
かむりをすてて　ふしおがみ
みつかいたちも　み名をほむ"
66,3,"聖なる　聖なる　聖なるかな
罪ある目には　　見えねども
みいつくしみの　満ちたれる
神のさかえぞ　　たぐいなき"
